patent_number	patent_title	patent_abstract
4285936	Method for producing a vaccine against bacterial infections caused by pseudomonas aeruginosa	A method for isolating a non toxic, high molecular weight polysaccharide igen from the crude slime of a Pseudomonas aeruginosa culture, and a method for inducing immunity in a host to said live organisms is described. The slime is initially prepared for the isolation procedure by separating the bacterial cells from the slime and dissolving the slime in a phosphate buffer solution. Dissolved contaminating nucleic acids are then precipitated and separated from solution. A lipid A portion of the contaminating lipopolysaccharide constituent is then removed and precipitated by acetic acid hydrolysis, and the remaining lipids present are extracted with chloroform. Nearly all of the residual nucleic acids are then removed by digestion with nucleases, and the remaining protein extracted with phenol. The aqueous and phenol layers are then separated, and the aqueous layer applied to a gel filter to isolate the antigen by column chromatography. The antigen appears in the void volume. A vaccine containing the polysaccharide antigen of this invention has been successfully tested and found to be non toxic and highly effective in inducing an immune response to the organism in a host.
4288545	Microbiological process for removing oleaginous material from wastewater and microbiological combination capable of same	A process for removing oleaginous materials containing those of animal origin from wastewater comprising treating wastewater containing oleaginous material with a microbial combination of: PA1 (a) a microorganism of the strain Pseudomonas aeruginosa mutant SGRR.sub.2 ; and PA1 (b) at least one of: PA2 (i) a microorganism of the genus Bacillus; and PA2 (ii) a microorganism of the genus Pseudomonas other than the strain Pseudomonas aeruginosa mutant SGRR.sub.2 ; and the microbial combination of: PA1 (a) a microorganism of the strain Pseudomonas aeruginosa mutant SGRR.sub.2 ; and PA1 (b) at least one of: PA2 (i) a microorganism of the genus Bacillus; and PA2 (ii) a microorganism of the genus Pseudomonas other than the strain Pseudomonas aeruginosa mutant SGRR.sub.2.
4288590	7 -[D.alpha.-(4-Hydroxy-1,5-naphthyridine-3-carboxamido)-.alpha.-arylacetam ido]-3-(N,N-dimethyl-aminomethylpyridinium) methyl-3-cephem-4-carboxylates	7-[D-.alpha.-(4-Hydroxy-1,5-naphthyridine-3-carboxamido)-.alpha.-phenyl (and thienyl and substituted phenyl) acetamido]-3-(2-, 3- or 4-N,N-dimethylaminomethyl-pyridinium)methyl-3-cephem-4-carboxylates were synthesized and found to have potent antibacterial activity in vitro especially against many strains of Pseudomonas aeruginosa.
4347314	Process for the preparation of penicillin derivatives	A process for the preparation of .alpha.-carboxy, 6, .alpha.-methoxy penicillin derivatives by the enzymatic hydrolysis of an esterified derivative. The process is for the preparation of a compound of formula (I): ##STR1## wherein R represents phenyl or 2- or 3-thienyl, which process comprises subjecting a compound of formula (IV): ##STR2## where R.sup.1 is an aryl radical, to the action of an enzyme selected from bromelain, papain, gelatase, trypsin, pancreatin or an esterase-producing strain of Escherichia coli, Pseudomonas aeruginosa, Aspergillus niger or Saccharomyces sp.
4349626	Method of detecting Pseudomonas aeruginosa infections utilizing selected ketone and/or sulfur metabolites	A novel method of detecting and diagnosing Pseudomonas aeruginosa infections by monitoring sample headspace concentrations of selected methyl ketones, particularly 2-nonanone and 2-undecanone. In an alternate embodiment, such diagnosis may be made by monitoring the headspace concentration of methyl mercaptan to diagnose the extent of a Pseudomonas aeruginosa infection. Expeditious methods for increasing such concentrations are also disclosed which include additions of selected nutrients to incubated sample mixtures.
4350770	Microbiological process for removing oleaginous material from wastewater and microbiological combination capable of same	A process for removing oleaginous materials containing those of animal origin from wastewater comprising treating wastewater containing oleaginous material with a microbial combination of: PA0 (a) a microorganism of the strain Pseudomonas aeruginosa mutant SGRR.sub.2 ; and PA0 (b) at least one of: PA1 (i) a microorganism of the genus Bacillus; and PA1 (ii) a microorganism of the genus Pseudomonas other than the strain Pseudomonas aeruginosa mutant SGRR.sub.2 ; and the microbial combination of: PA0 (a) a microorganism of the strain Pseudomonas aeruginosa mutant SGRR.sub.2 ; and PA0 (b) at least one of: PA1 (i) a microorganism of the genus Bacillus; and PA1 (ii) a microorganism of the genus Pseudomonas other than the strain Pseudomonas aeruginosa mutant SGRR.sub.2.
4351830	Polymeric compound, MF-300, with protective activity against bacterial infections and its preparation	A new polymeric compound, MF-300, is provided, which possesses a specific protective activity against bacterial infections caused particularly by Pseudomonas aeruginosa. The compound is derived from the reaction of ribostamycin with crotonoyl chloride followed by concentration of the reaction product and by subsequent recovery therefrom of a fraction having a range of molecular weights of 10,000.about.100,000 when measured by ultrafiltration method.
4374200	Broad host range small plasmid rings as cloning vehicles	The present invention relates to novel, broad bacterial host range small plasmid deoxyribonucleic acid rings which serve as cloning vehicles for DNA fragments, particularly those separated from other plasmid rings or from chromosones, recombined with the small plasmid rings and to the processes for recombining the plasmid rings and to processes for transferring them between host bacteria. In particular, the present invention relates to the aggregate plasmid ring RP1/pRO1600, to pRO1600 and plasmid ring derivatives thereof, particularly including pRO1601; pRO1613 and pRO1614, all of which are carried for reference purposes in Pseudomonas aeruginosa ATCC 15692 (also known as strain PAO1c) and are on deposit at the Northern Regional Research Laboratories (NRRL) of the U. S. Dept. of Agriculture at Peoria, Ill. The plasmid ring RP1 (also known as R1822) is deposited in Pseudomonas aeruginosa NRRL-B-12123 (and is a known plasmid ring). The pRO1600 portion of the aggregate is a new plasmid ring. The novel small plasmid rings are particularly useful for recombinant genetic manipulation wherein the DNA fragments are introduced into the plasmid rings to produce useful, cloneable characteristics in the host bacterium, particularly chemical generating characteristics.
4376164	Process for preparing broad host range small plasmid rings as cloning vehicles	The present invention relates to novel, broad bacterial host range small plasmid deoxyribonucleic acid rings which serve as cloning vehicles for DNA fragments, particularly those separated from other plasmid rings or from chromosones, recombined with the small plasmid rings and to the processes for recombining the plasmid rings and to processes for transferring them between host bacteria. In particular, the present invention relates to the aggregate plasmid ring RP1/pRO1600, to pRO1600 and plasmid ring derivatives thereof, particularly including pRO1601; pRO1613 and pRO1614, all of which are carried for reference purposes in Pseudomonas aeruginosa ATCC 15692 (also known as strain PAO1c) and are on deposit at the Northern Regional Research Laboratories (NRRL) of the U.S. Department of Agriculture at Peoria, Il. The plasmid ring RP1 (also known as R1822) is deposited in Pseudomonas aeruginosa NRRL-B-12123 (and is a known plasmid ring). The pRO1600 portion of the aggregate is a new plasmid ring. The novel small plasmid rings are particularly useful for recombinant genetic manipulation wherein the DNA fragments are introduced into the plasmid rings to produce useful, cloneable characteristics in the host bacterium, particularly chemical generating characteristics.
4382888	Tryptophan derivative and process for production thereof	N-(6-Deoxy-L-talosyloxyhydroxyphosphenyl)-L-leucyl-L-tryptophan which is novel compound having an inhibitory activity against a metallo proteinases produced by Pseudomonas aeruginosa, and a process for biochemically producing the compound according to the genus Streptomyces.
4418194	DNA Fragments for forming plasmids	The present invention relates to novel, broad bacterial host range small plasmid deoxyribonucleic acid rings which serve as cloning vehicles for DNA fragments, particularly those separated from other plasmid rings or from chromosones, recombined with the small plasmid rings and to the processes for recombining the plasmid rings and to processes for transferring them between host bacteria. In particular, the present invention relates to the aggregate plasmid ring RP1/pRO1600, to pRO1600 and plasmid ring derivatives thereof, particularly including pRO1601; pRO1613 and pRO1614, all of which are carried for reference purposes in Pseudomonas aeruginosa ATCC 15692 (also known as strain PAO1c) and are on deposit at the Northern Regional Research Laboratories (NRRL) of the United States Department of Agriculture at Peoria, Ill. The plasmid ring RP1 (also known as R1822) is deposited in Pseudomonas aeruginosa NRRL-B-12123 (and is a known plasmid ring). The pRO1600 portion of the aggregate is a new plasmid ring. The novel small plasmid rings are particularly useful for recombinant genetic manipulation wherein the DNA fragments are introduced into the plasmid rings to produce useful, cloneable characteristics in the host bacterium, particularly chemical generating characteristics.
